Word,Text,URL
/б`op/юч+и+сь,"Броньовані катери «Бердянськ» і «Нікополь» та буксир «Яни Капу» вже на Миколаївщині. Крок за кроком ми йдемо до миру, шукаючи дипломатичні рішення та #борючись# за те, щоб наша Україна була знову єдиною.",https://twitter.com/zelenskyyua/status/1197277178653794306
з+нa/x`oд/яч+и,"Культура як ніщо інше викликає справжній холівар у Луганську - хтось кричить про те, що йому нікуди сходити, а хтось не встигає планувати свій час, #знаходячи# все нові й нові культурні заходи.",https://www.bbc.com/ukrainian/blog-from-lugansk-50562763
/p`oбл/яч+и,"Так, сьогодні у селі Ленському Смілянського району сталася трагічна подія: 13-річна дівчинка, #роблячи# селфі на вагоні, отримала ураження струмом від високовольтних мереж.",https://dzvin.news/robliachy-selfi-na-dakhu-zaliznychnoho-vahonu-13-richna-dytyna-na-smilianshchyni-otrymala-opik-100-tila/
/iнiцiaт/`ив*a,"В першу чергу ми шукаємо #ініціативи# з невеликих міст і сіл, які зможуть стати прикладом для однодумців в інших громадах, шукаємо як #ініціативи#, що впроваджують щось нове, так і ті, які успішно впроваджують вже відомий досвід. Важливо, що ваша #ініціатива# може бути реалізована як громадською організацією так і #ініціативною# групою чи навіть однією людиною. ",https://www.prostir.ua/?grants=konkurs-krascha-hromadska-initsiatyva-2018-vstyhnit-rozpovisty-pro-svoyu-mistsevu-hromadsku-initsiatyvu
/д`aвл/яч+и+сь,"По-третє, таку планку спілкування нижче плінтуса у внутрішній і зовнішній політиці давно поставив головпахан усієї Росії Володимир Путін. Уявляю, як він, #давлячись# від сміху, переглядав і перекручував багато разів відео із Золотовим.",https://gordonua.com/ukr/blogs/berezovets/-ujavljaju-jak-putin-davljachis-vid-smihu-peregljadav-i-perekruchuvav-po-bagato-raziv-videozvernennja-zolotova-do-navalnomu-345804.html
/спi/ш+`и+ти (2),"Сьогодні усе для тебе — Озера, гаї, степи. І жити #спішити# треба, Кохати #спішити# треба — Гляди ж не проспи! Бо ти на землі — людина, І хочеш того чи ні — Усмішка твоя — єдина, Мука твоя — єдина, Очі твої — одні. ",https://www.pinterest.com/pin/541487555198883947/?lp=true
з/в`oд/яч+и,"А лихі люди й дурисвіти будуть чим далі, тим до гіршого посуватися, #зводячи# інших, і самі зведені. Ти ж тримайся того, чого навчився і в чому переконався. Відаєш бо, від кого ти навчився, і вже змалку знаєш Святе Письмо, яке вірою у Христа Ісуса може тобі дати мудрість на спасіння.","http://news.ugcc.ua/bible-quote/2%20%D0%A2%D0%BC%203:10-15,%20%D0%9B%D0%BA%2018:10-14"
пepe/iн/`aк+ш+и+ти (28)," Наступного року ми побачимо справжню ревізію історії. Чого це було? А чи був це Майдан? Тому, ми насправді, на новій прямій. І без сильного суспільного супротиву, спробують доволі сильно #переінакшити# ті події, які були"", - розповів Мельник.",https://prm.ua/nastupnogo-roku-ukrayinu-chekaye-spravzhnya-reviziya-istoriyi-ekspert/
oбi/п`ep/ш+и+сь,"Хоч раз почуйте, грамотні руїни, Нікчемні слуги чорного добра, Як, #обіпершись# вітрові на спину, Кричить Тарасова гора: – Нема на світі України, Немає другого Дніпра...",http://dspace.nbuv.gov.ua/bitstream/handle/123456789/37425/20-Romanova.pdf?sequence=1
пepe/смi/ш+`и+ти (2),"#Пересмішити# й обіграти людину в біатлон, яка виграла на «Розсміши коміка» 50 тис. багатьом не під силу (десь хвилин 5 я протримався). Я вважаю, що ми виклалися по максимуму",http://profkom-nmu.kiev.ua/news/zhyttya_komadny_kvn
пiд/в`oд/яч+и+сь,"Але #підводячись# і поминаючи наших солдатів, ми робимо все для того, щоби остаточно знищити українське військо, деморалізуючи його. Бо що повинні відчувати солдати на передовій, спостерігаючи за торгівлею, яку ведуть на їхній крові? ",https://samopomich.ua/obov-yazok-parlamentu-vyznaty-fakt-okupatsiyi-i-prypynyty-torgivlyu-z-okupantom-syroyid/
/пaпл/`юж+и+ти+ся,"А якщо це єдине, що вдалося зробити за всі роки незалежності, я вважаю, що це велика перемога, і всі люди, які приймали у цьому участь, повинні бути відзначені державними нагородами, а не #паплюжитися# на всіх каналах і у всіх газетах",https://golos.ua/i/42606
/пaд/л+`юч+и+ти,"Аpple ipad mini 2 retina 16gb може підключатися до мережі інтернет скрізь, де вам необхідно, навіть не маючи поблизу мережі Wifi. Це стало можливо після розробки моделі WiFi + Cellular, яка #падлючити# вас до мережі інтернет незалежно від вашого місцезнаходження.",https://apple-family.com.ua/uk/ipad-mini-2/%20ipad-mini-retina-display-wi-fi-16gb-silver.html
/бpoд/`яж+и+ти,"Станьте волоцюгою. Звільніться з роботи, відмовтеся, віддайте або продайте свою нерухомість з усіма своїми володіннями і вирушайте #бродяжити#. Стати жебраком – означає розірвати всі офіційні зв'язки, стати фінансово вільним, випасти з поля зору і слідувати своїм власним ""волоцюжного"" кодексу. ",https://znaj.ua/popcorn/5-prostyh-sposobiv-staty-zhebrakom
/пил/юж+`и+ти,"Ні, я виросту навіть вищим і міцнішим, ніж калинівський моряк. І нехай тоді хтось тільки спробує підійти до Маринчиного двору! Будуть мені #пилюжити# звідти й світу білого не бачити!",http://almanac.aibtoronto.com/2018/02/NikolayTyutyunnikSladkiyStrah.html
